Date,Name,Item
2024-04-09,Jensin,Band of Unanswered Prayers
2024-04-09,Puppiez,Band of Unnatural Forces
2024-04-09,Vanishh,Band of Unnatural Forces
2024-04-09,Prunes,Brimstone Staff
2024-04-09,Prunes,Brimstone Staff
2024-04-09,Fondlebishop,Cloak of Suturing
2024-04-09,Skiiska,Cloak of the Necropolis
2024-04-09,Stickyricky,Cloak of the Necropolis
2024-04-09,Waumbek,Cryptfiend Silk Cloak
2024-04-09,Fondlebishop,Desecrated Circlet
2024-04-09,Jetrho,Desecrated Headpiece
2024-04-09,Dangugly,Desecrated Robe
2024-04-09,Jensin,Desecrated Robe
2024-04-09,Miltonmane,Desecrated Tunic
2024-04-09,Onefiftyone,Eye of the Dead
2024-04-09,Onefiftyone,Eye of the Dead
2024-04-09,Antimercy,Ghoul Skin Tunic
2024-04-09,Iggysmallz,Girdle of the Mentor
2024-04-09,Mistaveeb,Girdle of the Mentor
2024-04-09,Pogg,Girdle of the Mentor
2024-04-09,Yagå,Girdle of the Mentor
2024-04-09,Bli,Hammer of the Twisting Nether
2024-04-09,Bli,Hammer of the Twisting Nether
2024-04-09,Miltonmane,Hammer of the Twisting Nether
2024-04-09,Farquaad,Harbinger of Doom
2024-04-09,Farquaad,Harbinger of Doom
2024-04-09,Alpineey,"Iblis, Blade of the Fallen Seraph"
2024-04-09,Checkursix,"Iblis, Blade of the Fallen Seraph"
2024-04-09,Nearl,Kingsfall
2024-04-09,Nearl,Kingsfall
2024-04-09,Puppiez,Kingsfall
2024-04-09,Ábrams,Kingsfall
2024-04-09,Abusementprk,Kiss of the Spider
2024-04-09,Checkursix,Kiss of the Spider
2024-04-09,Chims,Kiss of the Spider
2024-04-09,Chims,Kiss of the Spider
2024-04-09,Mcballs,Kiss of the Spider
2024-04-09,Nineteenalt,Kiss of the Spider
2024-04-09,Nineteenalt,Kiss of the Spider
2024-04-09,Outbreak,Kiss of the Spider
2024-04-09,Antimercy,Leggings of Apocalypse
2024-04-09,Bojjo,Leggings of Polarity
2024-04-09,Alpineey,Legplates of Carnage
2024-04-09,Airz,Might of Menethil
2024-04-09,Airz,Might of Menethil
2024-04-09,Spach,Might of Menethil
2024-04-09,Waumbek,Might of Menethil
2024-04-09,Yagå,Might of Menethil
2024-04-09,Rickytanx,Misplaced Servo Arm
2024-04-09,Gandal,Necklace of Necropsy
2024-04-09,Jetrho,Nerubian Slavemaker
2024-04-09,Ábrams,Plated Abomination Ribcage
2024-04-09,Gome,Preceptor's Hat
2024-04-09,Dirtydëëds,Sadist's Collar
2024-04-09,Impax,Sapphiron's Left Eye
2024-04-09,Shortandthic,Sapphiron's Left Eye
2024-04-09,Mae,Shield of Condemnation
2024-04-09,Dirtydëëds,Shroud of Dominion
2024-04-09,Abusementprk,Slayer's Crest
2024-04-09,Mcballs,Slayer's Crest
2024-04-09,Outbreak,Slayer's Crest
2024-04-09,Pogg,Slayer's Crest
2024-04-09,Vanishh,Slayer's Crest
2024-04-09,Iggysmallz,Stormrage's Talisman of Seething
2024-04-09,Mistaveeb,Stormrage's Talisman of Seething
2024-04-09,Spach,The Castigator
2024-04-09,Mae,The Face of Death
2024-04-09,Shortandthic,The Phylactery of Kel'Thuzad
2024-04-09,Thalantyr,The Phylactery of Kel'Thuzad
2024-04-09,Impax,The Restrained Essence of Sapphiron
2024-04-09,Thalantyr,The Restrained Essence of Sapphiron
2024-04-09,Bojjo,The Soul Harvester's Bindings
2024-04-09,Stickyricky,The Soul Harvester's Bindings
2024-04-09,Gandal,Veil of Eclipse
2024-04-09,Dangugly,Wand of Fates
2024-04-09,Skiiska,Wand of the Whispering Dead
2024-04-09,Rickytanx,Wristguards of Vengeance
2025-09-30,Vallon,Band of Unanswered Prayers
2025-09-30,Ares,Band of Unnatural Forces
2025-09-30,Imag,Band of Unnatural Forces
2025-09-30,Rusti,Band of Unnatural Forces
2025-09-30,Slout,Band of Unnatural Forces
2025-09-30,Toxicalover,Cloak of Suturing
2025-09-30,Vallanz,Cloak of the Necropolis
2025-09-30,Bravesrrobin,Eye of the Dead
2025-09-30,Bravesrrobin,Eye of the Dead
2025-09-30,Glad,Eye of the Dead
2025-09-30,Grapedrink,Eye of the Dead
2025-09-30,Mhorana,Eye of the Dead
2025-09-30,Toxicalover,Eye of the Dead
2025-09-30,Ares,Girdle of the Mentor
2025-09-30,Huxli,Girdle of the Mentor
2025-09-30,Huxli,Girdle of the Mentor
2025-09-30,Macthorson,Girdle of the Mentor
2025-09-30,Saladbalding,Girdle of the Mentor
2025-09-30,Solidsmtx,Girdle of the Mentor
2025-09-30,Fridda,Hammer of the Twisting Nether
2025-09-30,Grapedrink,Hammer of the Twisting Nether
2025-09-30,Numbrodos,Hammer of the Twisting Nether
2025-09-30,Rayss,Hammer of the Twisting Nether
2025-09-30,Anticide,"Iblis, Blade of the Fallen Seraph"
2025-09-30,Mesmasshuu,"Iblis, Blade of the Fallen Seraph"
2025-09-30,Hurb,Kingsfall
2025-09-30,Alpine,Kiss of the Spider
2025-09-30,Anticide,Kiss of the Spider
2025-09-30,Dilphiv,Kiss of the Spider
2025-09-30,Saladbalding,Kiss of the Spider
2025-09-30,Macthorson,Leggings of Apocalypse
2025-09-30,Calul,Leggings of Polarity
2025-09-30,Vallanz,Leggings of Polarity
2025-09-30,Alpine,Legplates of Carnage
2025-09-30,Michaelre,Legplates of Carnage
2025-09-30,Patriot,Might of Menethil
2025-09-30,Hurb,Might of the Scourge
2025-09-30,Ethos,Misplaced Servo Arm
2025-09-30,Abusementprk,Nerubian Slavemaker
2025-09-30,Meco,Nerubian Slavemaker
2025-09-30,Meco,Nerubian Slavemaker
2025-09-30,Dwamasama,Plated Abomination Ribcage
2025-09-30,Madder,Plated Abomination Ribcage
2025-09-30,Solidsmtx,Plated Abomination Ribcage
2025-09-30,Kushcloud,Rime Covered Mantle
2025-09-30,Calul,Sapphiron's Left Eye
2025-09-30,Kurdinn,Sapphiron's Left Eye
2025-09-30,Mhorana,Sapphiron's Right Eye
2025-09-30,Patriot,Shield of Condemnation
2025-09-30,Vallon,Shield of Condemnation
2025-09-30,Glad,Shroud of Dominion
2025-09-30,Micklevi,Shroud of Dominion
2025-09-30,Micklevi,Shroud of Dominion
2025-09-30,Dilphiv,Slayer's Crest
2025-09-30,Madder,Slayer's Crest
2025-09-30,Rusti,Slayer's Crest
2025-09-30,Slout,Slayer's Crest
2025-09-30,Greybush,Soulseeker
2025-09-30,Abusementprk,Stormrage's Talisman of Seething
2025-09-30,Dwamasama,Stormrage's Talisman of Seething
2025-09-30,Michaelre,Stormrage's Talisman of Seething
2025-09-30,Mesmasshuu,The Castigator
2025-09-30,Ethos,The Phylactery of Kel'Thuzad
2025-09-30,Deadcoiles,The Restrained Essence of Sapphiron
2025-09-30,Fridda,The Restrained Essence of Sapphiron
2025-09-30,Greybush,The Restrained Essence of Sapphiron
2025-09-30,Mandraky,The Restrained Essence of Sapphiron
2025-09-30,Numbrodos,The Restrained Essence of Sapphiron
2025-09-30,Rayss,The Restrained Essence of Sapphiron
2025-09-30,Trine,The Restrained Essence of Sapphiron
2025-09-30,Trine,The Restrained Essence of Sapphiron
2025-09-30,Kushcloud,The Soul Harvester's Bindings
2025-09-30,Deadcoiles,Wand of Fates
2025-09-30,Kurdinn,Wand of Fates
2025-09-30,Mandraky,Wraith Blade
2025-09-30,Imag,Wristguards of Vengeance
2024-11-05,Bigpapichulo,Band of Unanswered Prayers
2024-11-05,Arizana,Band of Unnatural Forces
2024-11-05,Feq,Band of Unnatural Forces
2024-11-05,Knumb,Band of Unnatural Forces
2024-11-05,Rusti,Band of Unnatural Forces
2024-11-05,Prunes,Brimstone Staff
2024-11-05,Prunes,Brimstone Staff
2024-11-05,Bilbo,Cloak of Suturing
2024-11-05,Nineteenxx,Corrupted Ashbringer
2024-11-05,Reciprocate,Corrupted Ashbringer
2024-11-05,Skiiska,Doomfinger
2024-11-05,Airz,Eye of the Dead
2024-11-05,Bigpapichulo,Eye of the Dead
2024-11-05,Bli,Eye of the Dead
2024-11-05,Bli,Eye of the Dead
2024-11-05,Spacepump,Eye of the Dead
2024-11-05,Waumbek,Eye of the Dead
2024-11-05,Waumbek,Eye of the Dead
2024-11-05,Chimpsmage,Gem of Trapped Innocents
2024-11-05,Trine,Gem of Trapped Innocents
2024-11-05,Frostiwarr,Ghoul Skin Tunic
